GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Calculator,com.munsun.calculator.services.impl,DefaultCalculatorService,0,49,0,0,0,8,0,4,0,4
Calculator,com.munsun.calculator.dto.response,PaymentScheduleElementDto,0,39,0,0,0,1,0,7,0,7
Calculator,com.munsun.calculator.dto.response,LoanOfferDto,3,48,0,0,0,1,1,8,1,8
Calculator,com.munsun.calculator.dto.response,ErrorMessageDto,0,9,0,0,0,1,0,2,0,2
Calculator,com.munsun.calculator.dto.response,CreditDto,0,51,0,0,0,1,0,9,0,9
Calculator,com.munsun.calculator.dto.request.enums,Gender,0,27,0,0,0,2,0,1,0,1
Calculator,com.munsun.calculator.dto.request.enums,MaritalStatus,0,21,0,0,0,2,0,1,0,1
Calculator,com.munsun.calculator.dto.request.enums,EmploymentStatus,0,27,0,0,0,2,0,1,0,1
Calculator,com.munsun.calculator.dto.request.enums,Position,0,21,0,0,0,2,0,1,0,1
Calculator,com.munsun.calculator.exceptions,ScoringException,0,4,0,0,0,2,0,1,0,1
Calculator,com.munsun.calculator.dto.utils,RateAndOtherServiceDto,0,15,0,0,0,1,0,3,0,3
Calculator,com.munsun.calculator.dto.utils,SimpleScoringInfoDto,0,15,0,0,0,1,0,3,0,3
Calculator,com.munsun.calculator.services.impl.providers.impl.filters.impl.hard,AmountHardScoringFilter,0,26,0,2,0,5,0,4,0,3
Calculator,com.munsun.calculator.services.impl.providers.impl.filters.impl.hard,AgeHardScoringFilter,0,33,0,4,0,5,0,5,0,3
Calculator,com.munsun.calculator.services.impl.providers.impl.filters.impl.hard,WorkExperienceHardScoringFilter,0,27,0,4,0,4,0,5,0,3
Calculator,com.munsun.calculator.services.impl.providers.impl.filters.impl.hard,WorkStatusHardScoringFilter,0,16,0,2,0,3,0,4,0,3
Calculator,com.munsun.calculator.advice,CalculatorControllerAdvice,0,46,0,0,0,12,0,5,0,5
Calculator,com.munsun.calculator.controllers,CalculatorController,5,11,0,0,1,2,1,2,1,2
Calculator,com.munsun.calculator.aspects,DefaultScoringProviderAspect,13,86,0,2,7,17,5,8,5,7
Calculator,com.munsun.calculator.aspects,CreditCalculatorAspect,2,82,0,0,2,16,2,4,2,4
Calculator,com.munsun.calculator.aspects,CalculatorControllerAspect,21,31,0,0,8,9,3,3,3,3
Calculator,com.munsun.calculator.aspects,CalculatorServiceAspect,2,41,0,0,2,13,2,4,2,4
Calculator,com.munsun.calculator,CalculatorApplication,5,3,0,0,2,1,1,1,1,1
Calculator,com.munsun.calculator.dto.request.annotations,DiffPresentAndCurrentValidator,0,11,0,0,0,3,0,2,0,2
Calculator,com.munsun.calculator.services.impl.providers.impl.filters.impl.soft,WorkStatusSoftScoringFilter,0,30,0,3,0,5,0,4,0,2
Calculator,com.munsun.calculator.services.impl.providers.impl.filters.impl.soft,InsuranceSoftScoringFilter,0,37,0,4,0,7,0,5,0,3
Calculator,com.munsun.calculator.services.impl.providers.impl.filters.impl.soft,MaritalStatusSoftScoringFilter,6,23,1,2,1,4,1,3,0,2
Calculator,com.munsun.calculator.services.impl.providers.impl.filters.impl.soft,GenderAndAgeSoftScoringFilter,0,69,0,14,0,9,0,9,0,2
Calculator,com.munsun.calculator.services.impl.providers.impl.filters.impl.soft,WorkPositionSoftScoringFilter,6,24,1,2,1,4,1,3,0,2
Calculator,com.munsun.calculator.services.impl.providers.impl.filters.impl.soft,SalaryClientSoftScoringFilter,0,35,0,4,0,7,0,5,0,3
Calculator,com.munsun.calculator.dto.request,LoanStatementRequestDto,0,57,0,0,0,1,0,10,0,10
Calculator,com.munsun.calculator.dto.request,ScoringDataDto,0,111,0,0,0,1,0,19,0,19
Calculator,com.munsun.calculator.dto.request,EmploymentDto,0,39,0,0,0,1,0,7,0,7
Calculator,com.munsun.calculator.services.impl.providers.impl,DefaultScoringProvider,0,200,0,8,0,36,0,13,0,9
Calculator,com.munsun.calculator.services.impl.providers.impl,CreditCalculatorWithDifferentPayments,0,294,0,4,0,59,0,10,0,8
Calculator,com.munsun.calculator.services.impl.providers.impl,CreditCalculatorWithAnnuityPayments,0,266,0,4,0,58,0,9,0,7
